날짜,시도지역코드,발생건수(건)
2023-11-21,42.0,0.0
2023-11-21,43.0,856.0
2023-11-21,44.0,1538.0
2023-11-21,45.0,1036.0
2023-11-21,46.0,1272.0
2023-11-21,47.0,1265.0
2023-11-21,48.0,1575.0
2023-11-21,49.0,392.0
2023-11-21,99.0,24890.0
2023-11-22,11.0,3779.0
2023-11-22,26.0,1369.0
2023-11-22,27.0,964.0
2023-11-22,28.0,1404.0
2023-11-22,29.0,648.0
2023-11-22,30.0,617.0
2023-11-22,31.0,488.0
2023-11-22,41.0,5227.0
2023-11-22,42.0,0.0
2023-11-22,43.0,758.0
2023-11-22,44.0,1328.0
2023-11-22,45.0,860.0
2023-11-22,46.0,1050.0
2023-11-22,47.0,1124.0
2023-11-22,48.0,1436.0
2023-11-22,49.0,256.0
2023-11-22,99.0,21916.0
2023-11-23,11.0,3969.0
2023-11-23,26.0,1547.0
