관리기관명,소재지지번주소,소재지도로명주소,카메라대수,카메라화소,촬영방면,보관일수,설치연도,위도,경도,데이터기준일자
광주광역시 사회재난과,광산구 신창동 1162-3,광산구 신창로162번길 69,1,200만,360도,30일,2024,35.197573,126.84424,2024-06-30
광주광역시 사회재난과,광산구 신창동 1163-8,광산구 신창로162번길 39-3,1,200만,360도,30일,2022,35.197624,126.842522,2024-06-30
광주광역시 사회재난과,광산구 신창동 1163-8,광산구 신창로162번길 39-3,1,200만,360도,30일,2024,35.197624,126.842522,2024-06-30
광주광역시 사회재난과,광산구 신창동 1197-1,광산구 신창로48번길 53-13,1,200만,360도,30일,2014,35.190415,126.840074,2024-06-30
광주광역시 사회재난과,광산구 신창동 1197-1,광산구 신창로48번길 53-13,1,200만,360도,30일,2019,35.190415,126.840074,2024-06-30
광주광역시 사회재난과,광산구 신창동 1197-1,광산구 신창로48번길 53-13,1,200만,360도,30일,2022,35.190415,126.840074,2024-06-30
광주광역시 사회재난과,광산구 신창동 1209-1,광산구 신창로48번길 36,2,200만,360도,30일,2019,35.189567,126.839053,2024-06-30
광주광역시 사회재난과,광산구 신창동 1209-1,광산구 신창로48번길 36,1,200만,360도,30일,2022,35.189567,126.839053,2024-06-30
광주광역시 사회재난과,광산구 신창동 1209-1,광산구 신창로48번길 36,1,200만,360도,30일,2024,35.189567,126.839053,2024-06-30
광주광역시 사회재난과,광산구 신창동 1222-4,광산구 신창로72번길 10-29,1,200만,360도,30일,2018,35.191604,126.839187,2024-06-30
광주광역시 사회재난과,광산구 신창동 1222-4,광산구 신창로72번길 10-29,1,200만,360도,30일,2022,35.191604,126.839187,2024-06-30
광주광역시 사회재난과,광산구 신창동 1222-4,광산구 신창로72번길 10-29,1,200만,360도,30일,2023,35.191604,126.839187,2024-06-30
광주광역시 사회재난과,광산구 신창동 1221-2,광산구 장신로 261,1,200만,360도,30일,2022,35.191153,126.83911,2024-06-30
광주광역시 사회재난과,광산구 신창동 1221-2,광산구 장신로 261,1,200만,360도,30일,2023,35.191153,126.83911,2024-06-30
광주광역시 사회재난과,광산구 신창동 1221-2,광산구 장신로 261,1,200만,360도,30일,2024,35.191153,126.83911,2024-06-30
광주광역시 사회재난과,광산구 신창동 1231,,2,200만,360도,30일,2022,35.193484,126.838402,2024-06-30
광주광역시 사회재난과,광산구 신창동 634-4,,1,200만,360도,30일,2018,35.193839,126.847084,2024-06-30
광주광역시 사회재난과,광산구 신창동 634-4,,1,200만,360도,30일,2022,35.193839,126.847084,2024-06-30
광주광역시 사회재난과,광산구 신창동 634-4,,1,200만,360도,30일,2024,35.193839,126.847084,2024-06-30
광주광역시 사회재난과,광산구 신창동 650-7,광산구 북문대로419번길 51,2,200만,360도,30일,2019,35.192632,126.846565,2024-06-30
광주광역시 사회재난과,광산구 신창동 650-7,광산구 북문대로419번길 51,1,200만,360도,30일,2021,35.192632,126.846565,2024-06-30
광주광역시 사회재난과,광산구 신창동 999,광산구 왕버들로322번길 26,1,200만,360도,30일,2022,35.193009,126.843101,2024-06-30
광주광역시 사회재난과,광산구 신창동 999,광산구 왕버들로322번길 26,1,200만,360도,30일,2024,35.193009,126.843101,2024-06-30
광주광역시 사회재난과,광산구 신촌동 1075-14,,1,200만,360도,30일,2018,35.1455,126.800499,2024-06-30
광주광역시 사회재난과,광산구 신촌동 1075-14,,1,200만,360도,30일,2022,35.1455,126.800499,2024-06-30
광주광역시 사회재난과,광산구 신촌동 1075-14,,1,200만,360도,30일,2023,35.1455,126.800499,2024-06-30
광주광역시 사회재난과,광산구 신촌동 695-43,,1,200만,360도,30일,2015,35.141621,126.809629,2024-06-30
광주광역시 사회재난과,광산구 신촌동 695-43,,1,200만,360도,30일,2024,35.141621,126.809629,2024-06-30
광주광역시 사회재난과,광산구 신촌동 993-5,광산구 사암로27번길 25,1,200만,360도,30일,2013,35.145958,126.806636,2024-06-30
광주광역시 사회재난과,광산구 신촌동 993-5,광산구 사암로27번길 25,2,200만,360도,30일,2020,35.145958,126.806636,2024-06-30
광주광역시 사회재난과,광산구 쌍암동 657-4,광산구 첨단중앙로152번길 6-8,2,200만,360도,30일,2020,35.218136,126.842257,2024-06-30
광주광역시 사회재난과,광산구 쌍암동 657-4,광산구 첨단중앙로152번길 6-8,2,200만,360도,30일,2019,35.218136,126.842257,2024-06-30
광주광역시 사회재난과,광산구 쌍암동 658-2,광산구 첨단중앙로152번길 16,1,200만,360도,30일,2018,35.218916,126.843203,2024-06-30
광주광역시 사회재난과,광산구 쌍암동 658-2,광산구 첨단중앙로152번길 16,1,200만,360도,30일,2022,35.218916,126.843203,2024-06-30
광주광역시 사회재난과,광산구 쌍암동 658-2,광산구 첨단중앙로152번길 16,1,200만,360도,30일,2023,35.218916,126.843203,2024-06-30
광주광역시 사회재난과,광산구 쌍암동 660-2,광산구 첨단중앙로152번길 31-7,1,200만,360도,30일,2018,35.219648,126.843779,2024-06-30
광주광역시 사회재난과,광산구 쌍암동 660-2,광산구 첨단중앙로152번길 31-7,1,200만,360도,30일,2022,35.219648,126.843779,2024-06-30
광주광역시 사회재난과,광산구 쌍암동 660-2,광산구 첨단중앙로152번길 31-7,1,200만,360도,30일,2024,35.219648,126.843779,2024-06-30
광주광역시 사회재난과,광산구 쌍암동 666-1,광산구 첨단중앙로152번길 31-16,2,200만,360도,30일,2022,35.220583,126.844017,2024-06-30
광주광역시 사회재난과,광산구 쌍암동 666-1,광산구 첨단중앙로152번길 31-16,1,200만,360도,30일,2022,35.220583,126.844017,2024-06-30
광주광역시 사회재난과,광산구 쌍암동 666-1,광산구 첨단중앙로152번길 31-16,1,200만,360도,30일,2024,35.220583,126.844017,2024-06-30
광주광역시 사회재난과,광산구 쌍암동 676-1,광산구 첨단중앙로182번길 46,1,200만,360도,30일,2010,35.222008,126.846148,2024-06-30
광주광역시 사회재난과,광산구 쌍암동 676-1,광산구 첨단중앙로182번길 46,1,200만,360도,30일,2021,35.222008,126.846148,2024-06-30
광주광역시 사회재난과,광산구 쌍암동 694-3,광산구 첨단강변로99번길 22,1,200만,360도,30일,2018,35.217364,126.852597,2024-06-30
