년도,지점명칭,목적,지목,지역,면적(제곱미터),시료깊이(m),카드뮴(mg_kg),구리(mg_kg),비소(mg_kg),수은(mg_kg),납(mg_kg),6가크롬(mg_kg),아연(mg_kg),니켈(mg_kg),불소(mg_kg),유기인(mg_kg),폴리클로리네이티드비페닐(PCBs)(mg_kg),시안(mg_kg),페놀류(mg_kg),벤젠(mg_kg),톨루엔(mg_kg),에틸벤젠(mg_kg),크실렌(mg_kg),석유계총탄화수소(TPH)(mg_kg),트리클로로에틸렌(TCE)(mg_kg),테트라클로로에틸렌(PCE)(mg_kg),벤조(a)피렌(mg_kg),12디클로로에탄(mg_kg),수소이온농도(pH)
2022,(주)원반도체,산업단지 및 공장지역,공장용지,3지역,7878,0~15cm,1.85,13.5,7.01,0.07,22.1,0,90.5,12.3,314,,0,0,0,0,0,0,0,0,0,0,,0,7.1
2022,(주)대광정밀,산업단지 및 공장지역,공장용지,3지역,5452,0~15cm,1.46,12.1,4.75,0.04,24.1,0,101.6,5.5,217,,0,0,0,0,0,0,0,66,0,0,,0,6.6
2022,우경건설남원지사,산업단지 및 공장지역,공장용지,3지역,46648,0~15cm,1.13,4.5,4.43,0.05,14.4,0,58.5,2.2,231,,0,0,0,0,0,0,0,0,0,0,,0,6.7
2022,(주)지엠에프,산업단지 및 공장지역,공장용지,3지역,13138.4,0~15cm,1.42,8.4,3.98,0.02,14.6,0,75,4.7,411,,0,0,0,0,0,0,0,0,0,0,,0,6.5
2022,(주)세웅,산업단지 및 공장지역,공장용지,3지역,7419,0~15cm,1.19,6.1,2.7,0.02,11.6,0,64.4,2.7,423,,0,0,0,0,0,0,0,0,0,0,,0,6.7
2022,중앙석재,산업단지 및 공장지역,대지(2지역),2지역,1150,0~15cm,1.87,4.6,5.01,0.02,13.2,0,68.3,4.5,379,,,0,,,,,,,,,,,6.8
2022,새벽자원,원광석·고철 등의 보관·사용지역,잡종지(3지역),3지역,1930,0~15cm,1.47,8.5,4.05,0.03,15.3,0,86.5,7,148,,0,0,0,0,0,0,0,58,,,,,5.6
2022,거성자원,원광석·고철 등의 보관·사용지역,임야,2지역,25486,0~15cm,0.96,1.8,3.25,0.03,12.8,0,61.5,1.5,,,,0,,,,,,,,,,,6.7
2022,선인종합개발,원광석·고철 등의 보관·사용지역,공장용지,3지역,6011,0~15cm,2.36,3.6,7.48,0.02,19.2,0,81,4.5,539,,0,0,0,0,0,0,0,0,0,0,,0,7
2022,(주)대방신재생에너지,폐기물 처리 및 재활용 관련 지역,공장용지,3지역,2037,0~15cm,1.76,3.8,3.91,0.03,15.6,0,59.2,9,248,,0,0,0,0,0,0,0,0,0,0,,0,6.8
2022,성신폐차장,교통관련시설지역,잡종지(3지역),3지역,4048,0~15cm,1.36,8.3,4.17,0.03,23.8,0,108.9,4.7,233,,0,0,0,0,0,0,0,170,,,,,6.6
