시도,시도명,시군구,시군구명,읍면동,읍면동명,위도,경도,평면직각좌표계_X좌표,평면직각좌표계_Y좌표,지리정보시스템아이디,상태,행정구역최소X좌표,행정구역최소Y좌표,행정구역최대X좌표,행정구역최대Y좌표
11,서울특별시,230,동대문구,600,답십리1동,37.57090357,127.0519503,204521.0732,452073.8221,11230600,Y,127.0421644,37.56374893,127.0586799,37.57709014
11,서울특별시,230,동대문구,610,답십리2동,37.57104721,127.0613015,205347.1538,452090.2274,11230610,Y,127.0568211,37.56300234,127.0676609,37.57658332
11,서울특별시,230,동대문구,650,장안1동,37.56623538,127.0685955,205991.9044,451556.5957,11230650,Y,127.0577585,37.56002955,127.0785597,37.57274435
11,서울특별시,230,동대문구,660,장안2동,37.57574905,127.0726622,206350.4116,452612.7694,11230660,Y,127.066298,37.56760277,127.0786281,37.58233687
11,서울특별시,230,동대문구,705,청량리동,37.58882736,127.0452476,203928.0332,454062.8811,11230705,Y,127.0390463,37.579645,127.0528095,37.59720557
11,서울특별시,230,동대문구,710,회기동,37.59398022,127.05167,204494.9668,454635.0816,11230710,Y,127.0470539,37.58726181,127.0568858,37.60160956
11,서울특별시,230,동대문구,720,휘경1동,37.59191357,127.0624672,205448.6685,454406.2699,11230720,Y,127.0532588,37.58741008,127.0703378,37.59537164
11,서울특별시,230,동대문구,730,휘경2동,37.58640877,127.0664329,205799.3507,453795.5177,11230730,Y,127.0546674,37.58096558,127.0772127,37.59245868
11,서울특별시,230,동대문구,740,이문1동,37.59737396,127.0607571,205297.2749,455012.2229,11230740,Y,127.052013,37.59118,127.0703655,37.60355291
11,서울특별시,230,동대문구,750,이문2동,37.60272169,127.0674739,205890.0368,455606.1557,11230750,Y,127.0607565,37.59783848,127.0727039,37.60689946
11,서울특별시,260,중랑구,520,면목2동,37.58931894,127.0779814,206819.091,454119.2721,11260520,Y,127.0707036,37.5853085,127.0867532,37.59294843
11,서울특별시,260,중랑구,540,면목4동,37.57342005,127.0863216,207557.2848,452355.2743,11260540,Y,127.0783014,37.56954308,127.0957489,37.5773678
11,서울특별시,260,중랑구,550,면목5동,37.58288313,127.07976,206976.7685,453405.0784,11260550,Y,127.0736828,37.57676672,127.0840694,37.58759625
11,서울특별시,260,중랑구,565,면목본동,37.58833438,127.0894354,207830.8308,454010.8563,11260565,Y,127.0834448,37.58367545,127.0948643,37.59413018
11,서울특별시,260,중랑구,570,면목7동,37.57723256,127.0927599,208125.6484,452778.9527,11260570,Y,127.0795936,37.57108802,127.1026613,37.58113113
11,서울특별시,260,중랑구,575,"면목3,8동",37.58465192,127.0973747,208532.4465,453602.8286,11260575,Y,127.0833732,37.57888062,127.1101264,37.59055342
11,서울특별시,260,중랑구,580,상봉1동,37.60187938,127.0893172,207819.0044,455514.2072,11260580,Y,127.0802646,37.59498338,127.0958055,37.60988428
11,서울특별시,260,중랑구,590,상봉2동,37.59422247,127.083884,207339.9403,454663.9617,11260590,Y,127.0703378,37.59089558,127.093182,37.59814769
11,서울특별시,260,중랑구,600,중화1동,37.6024871,127.0829783,207259.1811,455581.1645,11260600,Y,127.0787184,37.59585605,127.0870743,37.60936583
11,서울특별시,260,중랑구,610,중화2동,37.59867829,127.0751495,206568.1747,455157.8605,11260610,Y,127.0694025,37.59245868,127.080316,37.60535568
11,서울특별시,260,중랑구,620,묵1동,37.61374241,127.0824155,207208.4131,456830.3522,11260620,Y,127.0758318,37.60535568,127.090528,37.62027068
11,서울특별시,260,중랑구,630,묵2동,37.61028642,127.0746405,206522.2444,456446.2179,11260630,Y,127.071386,37.60463972,127.0787184,37.61706174
11,서울특별시,260,중랑구,655,망우본동,37.60195133,127.1074878,209423.571,455523.8124,11260655,Y,127.0927718,37.59184757,127.1183575,37.61330879
11,서울특별시,260,중랑구,660,망우3동,37.59179024,127.102821,209012.6767,454395.6116,11260660,Y,127.093182,37.58740039,127.1123827,37.59569749
11,서울특별시,260,중랑구,680,신내1동,37.61289538,127.104442,209153.2725,456738.2147,11260680,Y,127.089234,37.5994464,127.1175689,37.62081714
11,서울특별시,260,중랑구,690,신내2동,37.61102969,127.0915581,208015.9445,456529.9905,11260690,Y,127.0846449,37.60051653,127.0966533,37.61747418
11,서울특별시,290,성북구,525,성북동,37.5958281,126.9960736,199584.9667,454839.1056,11290525,Y,126.9815499,37.58793362,127.0131799,37.60273159
11,서울특별시,290,성북구,555,삼선동,37.58657398,127.0117165,200966.51,453811.9833,11290555,Y,127.0041475,37.58018342,127.0189479,37.5926065
11,서울특별시,290,성북구,575,동선동,37.59368809,127.018499,201565.4558,454601.6647,11290575,Y,127.0117554,37.58881088,127.0249767,37.59835677
11,서울특별시,290,성북구,580,돈암1동,37.59948783,127.0243655,202083.4,455245.48,11290580,Y,127.0185761,37.59411209,127.0302027,37.60447307
11,서울특별시,290,성북구,590,돈암2동,37.59713407,127.0116162,200957.5449,454984.0564,11290590,Y,127.0056945,37.59161471,127.0196642,37.60193539
11,서울특별시,290,성북구,600,안암동,37.58728189,127.0272292,202336.6472,453890.7952,11290600,Y,127.0187589,37.57918049,127.0363724,37.5945256
11,서울특별시,290,성북구,610,보문동,37.58281469,127.0191141,201619.9856,453394.8262,11290610,Y,127.014641,37.57747674,127.0244559,37.58865758
