진료년도,성별,입원외래구분,행위코드,환자수,명세서청구건수,의료행위총사용량,의료행위청구금액
2023,여,외래,HA534,81020,82327,82384.8,13804979409
2023,여,외래,HA535,10571,11008,11012.5,1879465508
2023,여,외래,HA536,420,423,423,76876467
2023,여,외래,HA537,1183,1211,1213,201472798
2023,여,외래,HA538,13152,13675,13681.8,2263153436
2023,여,외래,HA539,4,4,4,785000
2023,여,외래,HA546,85,85,85,14493651
2023,여,외래,HA547,166,171,172,27900985
2023,여,외래,HA548,43,43,43,6915556
2023,여,외래,HA549,18,18,18,3514650
2023,여,외래,HA551,55,55,55,7525654
2023,여,외래,HA554,751,752,752,129979489
2023,여,외래,HA557,6,7,7,1150800
2023,여,외래,HA591,851,870,870,150207264
2023,여,외래,HA592,18958,19585,19599,3339140081
2023,여,외래,HA593,117,119,119,20158619
2023,여,외래,HA601,9,9,8.5,1997793
2023,여,외래,HA602,14,14,14,4024597
2023,여,외래,HA604,15,15,15,6843194
2023,여,외래,HA605,753,799,803.5,104919468
2023,여,외래,HA614,8,8,8,4158102
2023,여,외래,HA615,13,13,13,3835699
2023,여,외래,HA616,12,13,11,3237731
2023,여,외래,HA617,25,26,26,10553836
2023,여,외래,HA618,1,1,0.5,205363
2023,여,외래,HA619,5,5,5,1521884
2023,여,외래,HA621,8,8,6,2002645
2023,여,외래,HA622,27,32,31.5,7984178
2023,여,외래,HA624,26,26,25.5,12036201
2023,여,외래,HA626,2,2,2,481234
2023,여,외래,HA628,26,26,25.5,5995495
2023,여,외래,HA630,2,2,2,720792
2023,여,외래,HA633,13,14,12.5,6442563
2023,여,외래,HA634,3,3,3,589138
2023,여,외래,HA635,2,2,2,556057
2023,여,외래,HA636,2,2,1.5,737904
2023,여,외래,HA641,33,44,36,10277106
2023,여,외래,HA642,12,14,11,3227373
2023,여,외래,HA643,9495,19180,12149.93,4306926059
2023,여,외래,HA651,43,51,45.25,12563655
2023,여,외래,HA652,48,55,48.25,13322489
2023,여,외래,HA670,389,390,392.25,268025761
2023,여,외래,HA680,1,1,1,753311
2023,여,외래,HA681,1,1,1,203437
2023,여,외래,HA701,1,1,1,78923
2023,여,외래,HA704,8,8,8,1936724
2023,여,외래,HA705,517,568,568,227460261
2023,여,외래,HA711,2849,4630,3209.75,958065317
2023,여,외래,HA712,389,487,401.8,138329719
2023,여,외래,HA721,57,57,52,11460147
2023,여,외래,HA725,1,1,1,270543
2023,여,외래,HA726,2,2,1,436068
2023,여,외래,HA729,182,182,179.7,112965761
2023,여,외래,HA731,1225,1710,1550.95,379568942
2023,여,외래,HA732,10,10,6.5,2195771
2023,여,외래,HA741,182,183,180,106475552
2023,여,외래,HA742,78,116,115.5,26742228
